appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,languages,genre,ccu,tags
2280,DOOM (1993),id Software,id Software,,16878,535,0,"1,000,000 .. 2,000,000",115,0,28,0,499,499,0,"English, French, Italian, German, Spanish - Spain",Action,81,"{'FPS': 514, 'Classic': 500, 'Action': 313, ""1990's"": 309, 'Retro': 278, 'Great Soundtrack': 271, 'Old School': 241, 'Demons': 232, 'Shooter': 226, 'First-Person': 209, 'Singleplayer': 208, 'Gore': 207, 'Moddable': 197, 'Fast-Paced': 171, 'Sci-fi': 165, 'Violent': 160, 'Boomer Shooter': 151, '2.5D': 133, 'Multiplayer': 128, 'Difficult': 109}"
2310,Quake,"id Software, Nightdive Studios, MachineGames",Bethesda Softworks,,12803,465,0,"1,000,000 .. 2,000,000",510,8,308,8,999,999,0,"English, French, Italian, German, Spanish - Spain, Russian",Action,98,"{'FPS': 441, 'Classic': 385, 'Action': 264, 'Shooter': 242, ""1990's"": 191, 'Singleplayer': 185, 'Multiplayer': 184, 'First-Person': 162, 'Gore': 161, 'Old School': 157, 'Retro': 140, 'Great Soundtrack': 129, 'Horror': 129, 'Fast-Paced': 124, 'Atmospheric': 114, 'Moddable': 112, 'Sci-fi': 108, 'Boomer Shooter': 95, 'Arena Shooter': 62, 'Co-op': 61}"
2400,The Ship: Murder Party,Outerlight Ltd.,Blazing Griffin,,5088,841,0,"1,000,000 .. 2,000,000",241,0,164,0,999,999,0,"English, French, German, Italian, Spanish - Spain, Polish, Russian, Japanese","Action, Indie, RPG",4,"{'Multiplayer': 383, 'Indie': 174, 'First-Person': 155, 'Action': 150, 'Stealth': 140, 'Mystery': 120, 'RPG': 120, 'Assassin': 109, 'Funny': 81, 'Survival': 62, 'FPS': 54, 'Simulation': 53, 'Singleplayer': 52, 'Comedy': 51, 'Shooter': 44, 'Adventure': 41, 'Strategy': 41, 'Difficult': 31, 'Stylized': 28, 'Replay Value': 28}"
2630,Call of Duty 2,Infinity Ward,Activision,,8755,602,0,"5,000,000 .. 10,000,000",472,0,447,0,1499,1999,25,"English, French, German, Italian, Spanish - Spain",Action,268,"{'Action': 227, 'World War II': 224, 'FPS': 218, 'Multiplayer': 192, 'Singleplayer': 181, 'Shooter': 147, 'War': 140, 'Classic': 131, 'First-Person': 114, 'Historical': 98, 'Military': 68, 'Atmospheric': 59, 'Story Rich': 29, 'Controller': 24, 'Co-op': 19, 'Adventure': 19, 'Online Co-Op': 12, 'Casual': 11, 'Simulation': 8, 'Zombies': 7}"
3590,Plants vs. Zombies GOTY Edition,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",,121303,3045,0,"5,000,000 .. 10,000,000",1302,312,623,317,499,499,0,English,Strategy,4061,"{'Tower Defense': 1342, 'Zombies': 1191, 'Strategy': 931, 'Singleplayer': 808, 'Casual': 691, 'Comedy': 465, 'Classic': 460, '2D': 456, 'Great Soundtrack': 448, 'Family Friendly': 395, 'Funny': 363, 'Puzzle': 308, 'Addictive': 305, 'Cute': 290, 'Survival': 278, 'Indie': 258, 'Tactical': 225, 'Adventure': 139, 'Touch-Friendly': 133, 'Post-apocalyptic': 100}"
3830,Psychonauts,Double Fine Productions,Double Fine Productions,,15849,808,0,"2,000,000 .. 5,000,000",311,0,129,0,999,999,0,"English, French, German",Action,56,"{'Platformer': 674, 'Comedy': 594, 'Adventure': 516, 'Cult Classic': 487, 'Singleplayer': 443, 'Action': 393, 'Funny': 356, 'Third Person': 315, '3D Platformer': 305, 'Classic': 270, 'Story Rich': 215, 'Psychological': 193, 'Great Soundtrack': 153, 'Surreal': 120, 'Cartoony': 111, 'Collectathon': 105, 'Exploration': 97, 'Action-Adventure': 71, '3D': 59, '3D Vision': 28}"
3900,Sid Meier's Civilization IV,Firaxis Games,2K,,2831,215,0,"1,000,000 .. 2,000,000",194,0,14,0,1999,1999,0,"English, French, German, Italian, Spanish - Spain",Strategy,702,"{'Strategy': 297, 'Turn-Based Strategy': 210, 'Turn-Based': 177, '4X': 149, 'Historical': 129, 'Multiplayer': 104, 'Singleplayer': 90, 'Moddable': 68, 'Grand Strategy': 62, 'Classic': 56, 'Addictive': 47, 'Replay Value': 41, 'Simulation': 40, 'Resource Management': 40, 'Great Soundtrack': 32, 'War': 31, 'Economy': 28, 'Tactical': 28, 'Management': 22, 'Local Multiplayer': 6}"
3910,Sid Meier's Civilization III Complete,Firaxis Games,2K,,5882,692,0,"1,000,000 .. 2,000,000",1132,0,19,0,499,499,0,English,Strategy,1497,"{'Strategy': 311, 'Turn-Based Strategy': 216, 'Turn-Based': 138, 'Classic': 134, '4X': 119, 'Historical': 118, 'Singleplayer': 93, 'Multiplayer': 75, 'Replay Value': 71, 'Simulation': 59, 'Grand Strategy': 58, 'Military': 57, 'Exploration': 53, 'Addictive': 44, 'City Builder': 32, 'Old School': 23, 'War': 17, 'Isometric': 10, 'Diplomacy': 10, 'Alternate History': 9}"
4000,Garry's Mod,Facepunch Studios,Valve,,1027444,34543,0,"20,000,000 .. 50,000,000",9136,336,1223,61,999,999,0,"English, French, Italian, German, Spanish - Spain, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian","Casual, Indie, Simulation",25897,"{'Sandbox': 18369, 'Moddable': 14248, 'Multiplayer': 14241, 'Physics': 14232, 'Building': 14215, 'Casual': 13055, 'Singleplayer': 12750, 'Funny': 12747, 'First-Person': 12743, 'Online Co-Op': 12728, 'Co-op': 12714, 'FPS': 12713, 'Simulation': 12711, 'Shooter': 12698, 'Action': 12696, 'Comedy': 12693, 'Indie': 12663, 'PvP': 8895, 'Realistic': 8876, 'Exploration': 8849}"
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,GSC Game World,GSC Game World,,37754,2152,0,"1,000,000 .. 2,000,000",550,0,153,0,1999,1999,0,"English, French, Italian, Spanish - Spain, German, Russian, Ukrainian, Polish, Traditional Chinese","Action, RPG",698,"{'Atmospheric': 1428, 'Post-apocalyptic': 1317, 'Open World': 1298, 'FPS': 1204, 'Survival': 970, 'Action': 726, 'RPG': 610, 'Shooter': 606, 'Survival Horror': 604, 'Horror': 565, 'First-Person': 533, 'Singleplayer': 525, 'Classic': 466, 'Based On A Novel': 392, 'Moddable': 388, 'Adventure': 383, 'Immersive': 333, 'Sci-fi': 330, 'Inventory Management': 292, 'Difficult': 267}"
